"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","77.68","78.65","78.86","77.67","5.69M","-1.38%"
"Dec 30, 2021","78.77","78.63","79.19","78.61","4.47M","0.42%"
"Dec 29, 2021","78.44","78.87","79.07","78.19","3.78M","-0.49%"
"Dec 28, 2021","78.83","78.96","79.54","78.71","3.21M","-0.05%"
"Dec 27, 2021","78.87","78.35","79.04","78.34","2.67M","0.97%"
"Dec 23, 2021","78.11","77.52","78.37","77.48","2.38M","0.89%"
"Dec 22, 2021","77.42","77.06","77.63","76.90","3.27M","0.25%"
"Dec 21, 2021","77.23","76.15","77.32","75.98","5.20M","1.90%"
"Dec 20, 2021","75.79","75.56","75.84","75.08","4.49M","-0.90%"
"Dec 17, 2021","76.48","76.29","77.07","75.82","9.93M","-0.40%"
"Dec 16, 2021","76.79","77.08","77.69","76.55","7.30M","-0.14%"
"Dec 15, 2021","76.90","75.92","76.99","74.91","6.66M","1.05%"
"Dec 14, 2021","76.10","75.43","76.24","75.33","6.98M","-0.26%"
"Dec 13, 2021","76.30","76.61","76.95","76.07","4.93M","-0.52%"
"Dec 10, 2021","76.70","77.13","77.28","76.12","4.26M","0.05%"
"Dec 09, 2021","76.66","77.05","77.50","76.48","4.07M","-0.79%"
"Dec 08, 2021","77.27","76.92","77.46","76.64","9.48M","0.73%"
"Dec 07, 2021","76.71","76.73","77.08","76.48","4.55M","1.03%"
"Dec 06, 2021","75.93","75.12","76.11","74.83","7.74M","1.65%"
"Dec 03, 2021","74.70","75.23","75.36","73.73","8.99M","-0.23%"
"Dec 02, 2021","74.87","73.81","75.16","73.80","7.58M","1.68%"
"Dec 01, 2021","73.63","76.45","76.66","73.59","9.39M","-2.31%"
"Nov 30, 2021","75.37","77.46","77.46","75.31","10.42M","-3.17%"
"Nov 29, 2021","77.84","78.13","78.20","77.38","6.52M","0.86%"
"Nov 26, 2021","77.18","77.86","77.86","77.11","4.96M","-1.83%"
"Nov 24, 2021","78.62","78.30","78.72","77.90","4.24M","0.14%"
"Nov 23, 2021","78.51","78.61","78.91","77.95","5.08M","-0.27%"
"Nov 22, 2021","78.72","79.81","79.99","78.71","4.52M","-1.22%"
"Nov 19, 2021","79.69","80.29","80.48","79.57","6.86M","-0.34%"
"Nov 18, 2021","79.96","80.35","80.37","79.63","3.34M","-0.72%"
"Nov 17, 2021","80.54","80.84","81.02","80.44","7.33M","-0.38%"
"Nov 16, 2021","80.85","81.25","81.43","80.81","2.38M","-0.75%"
"Nov 15, 2021","81.46","81.46","81.91","81.25","2.32M","0.28%"
"Nov 12, 2021","81.23","80.46","81.30","80.16","3.24M","1.46%"
"Nov 11, 2021","80.06","80.23","80.52","80.01","2.04M","-0.20%"
"Nov 10, 2021","80.22","80.74","81.01","79.92","4.07M","-1.13%"
"Nov 09, 2021","81.14","81.52","81.66","80.75","3.92M","-0.25%"
"Nov 08, 2021","81.34","82.07","82.07","81.26","3.17M","-0.44%"
"Nov 05, 2021","81.70","81.76","82.35","81.61","3.24M","0.80%"
"Nov 04, 2021","81.05","81.03","81.42","80.69","6.28M","0.40%"
"Nov 03, 2021","80.73","80.01","80.76","79.78","2.83M","0.36%"
"Nov 02, 2021","80.44","80.69","80.77","79.98","3.98M","0.01%"
"Nov 01, 2021","80.43","80.60","81.06","80.21","4.12M","0.16%"
"Oct 29, 2021","80.30","79.87","80.44","79.76","2.85M","0.31%"
"Oct 28, 2021","80.05","79.89","80.51","79.35","3.59M","0.33%"
"Oct 27, 2021","79.79","79.87","80.61","79.70","5.85M","-0.27%"
"Oct 26, 2021","80.01","81.14","81.15","79.65","6.56M","-0.89%"
"Oct 25, 2021","80.73","80.17","80.73","79.69","3.23M","0.44%"
"Oct 22, 2021","80.38","80.88","81.20","79.98","3.13M","-2.12%"
"Oct 21, 2021","82.12","81.81","82.16","81.57","2.68M","0.29%"
"Oct 20, 2021","81.88","81.89","82.11","81.60","2.93M","0.20%"
"Oct 19, 2021","81.72","81.36","81.73","81.16","2.46M","0.96%"
"Oct 18, 2021","80.94","80.22","80.95","80.06","2.98M","0.77%"
"Oct 15, 2021","80.32","80.78","80.80","80.20","3.10M","-0.24%"
"Oct 14, 2021","80.51","80.16","80.64","79.96","3.61M","1.41%"
"Oct 13, 2021","79.39","79.47","79.64","78.90","4.69M","0.47%"
"Oct 12, 2021","79.02","79.77","79.84","78.74","7.99M","-0.93%"
"Oct 11, 2021","79.76","80.61","80.95","79.74","3.59M","-1.51%"
"Oct 08, 2021","80.98","81.53","81.64","80.88","2.73M","-0.49%"
"Oct 07, 2021","81.38","81.78","82.13","81.33","4.26M","0.43%"
"Oct 06, 2021","81.03","80.06","81.09","79.73","6.60M","0.17%"
"Oct 05, 2021","80.89","80.02","81.32","79.91","3.32M","1.49%"
"Oct 04, 2021","79.70","80.88","80.94","79.10","9.45M","-2.16%"
"Oct 01, 2021","81.46","80.53","81.82","80.17","7.31M","1.69%"
"Sep 30, 2021","80.11","80.63","80.94","80.11","10.77M","-0.31%"
"Sep 29, 2021","80.36","80.81","81.28","80.25","5.47M","-0.09%"
"Sep 28, 2021","80.43","81.59","81.81","80.31","8.98M","-2.44%"
"Sep 27, 2021","82.44","82.03","82.67","81.77","3.46M","-0.01%"
"Sep 24, 2021","82.45","81.41","82.61","81.30","4.40M","0.82%"
"Sep 23, 2021","81.78","81.31","82.18","81.17","3.99M","1.03%"
"Sep 22, 2021","80.95","80.74","81.38","80.59","6.82M","-0.05%"
"Sep 21, 2021","80.99","81.83","82.13","80.93","6.47M","-0.42%"
"Sep 20, 2021","81.33","81.74","82.03","80.31","8.94M","-2.18%"
"Sep 17, 2021","83.14","83.84","84.03","82.78","9.97M","-1.11%"
"Sep 16, 2021","84.07","83.96","84.32","83.47","3.86M","-0.10%"
"Sep 15, 2021","84.15","83.70","84.29","83.02","5.00M","0.49%"
"Sep 14, 2021","83.74","84.72","84.78","83.60","5.47M","-0.86%"
"Sep 13, 2021","84.47","84.86","84.86","84.05","5.29M","0.25%"
"Sep 10, 2021","84.26","85.13","85.26","84.21","5.10M","-0.65%"
"Sep 09, 2021","84.81","85.14","85.36","84.69","4.11M","-0.49%"
"Sep 08, 2021","85.23","85.49","85.76","84.95","3.81M","-0.51%"
