"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","39.05","39.04","39.24","38.97","28.50M","-0.18%"
"Dec 30, 2021","39.12","39.31","39.53","39.00","30.04M","-0.18%"
"Dec 29, 2021","39.19","39.32","39.43","39.14","27.11M","-0.13%"
"Dec 28, 2021","39.24","39.15","39.49","39.14","33.91M","0.05%"
"Dec 27, 2021","39.22","38.94","39.22","38.74","35.99M","1.03%"
"Dec 23, 2021","38.82","38.84","39.17","38.80","39.06M","0.52%"
"Dec 22, 2021","38.62","38.33","38.65","38.27","48.50M","0.47%"
"Dec 21, 2021","38.44","38.04","38.61","38.04","57.52M","2.07%"
"Dec 20, 2021","37.66","37.81","37.86","37.21","84.60M","-2.41%"
"Dec 17, 2021","38.59","39.20","39.25","38.35","97.80M","-2.20%"
"Dec 16, 2021","39.46","39.42","39.74","39.22","70.98M","1.26%"
"Dec 15, 2021","38.97","38.96","39.08","38.48","69.71M","0.28%"
"Dec 14, 2021","38.86","38.57","39.15","38.54","50.23M","0.60%"
"Dec 13, 2021","38.63","38.96","38.97","38.50","43.65M","-1.08%"
"Dec 10, 2021","39.05","39.28","39.29","38.80","38.90M","0.10%"
"Dec 09, 2021","39.01","38.90","39.21","38.76","45.39M","-0.20%"
"Dec 08, 2021","39.09","39.32","39.48","38.99","52.95M","-0.53%"
"Dec 07, 2021","39.30","39.06","39.41","38.87","115.31M","1.79%"
"Dec 06, 2021","38.61","38.63","38.98","38.33","69.50M","1.53%"
"Dec 03, 2021","38.03","38.71","38.81","37.72","97.18M","-1.63%"
"Dec 02, 2021","38.66","37.91","38.86","37.76","98.08M","2.98%"
"Dec 01, 2021","37.54","38.58","38.88","37.54","102.02M","-1.11%"
"Nov 30, 2021","37.96","38.42","38.57","37.91","121.26M","-2.39%"
"Nov 29, 2021","38.89","39.24","39.35","38.60","79.32M","0.31%"
"Nov 26, 2021","38.77","38.84","39.01","38.33","76.49M","-3.32%"
"Nov 24, 2021","40.10","40.11","40.26","39.94","40.41M","-0.22%"
"Nov 23, 2021","40.19","39.78","40.22","39.67","61.57M","1.57%"
"Nov 22, 2021","39.57","39.53","39.96","39.23","81.97M","1.41%"
"Nov 19, 2021","39.02","39.11","39.25","38.72","71.86M","-1.09%"
"Nov 18, 2021","39.45","39.69","39.76","39.26","43.00M","-0.50%"
"Nov 17, 2021","39.65","40.05","40.05","39.54","53.10M","-1.15%"
"Nov 16, 2021","40.11","40.20","40.35","40.00","32.60M","-0.10%"
"Nov 15, 2021","40.15","40.25","40.35","40.07","30.08M","0.00%"
"Nov 12, 2021","40.15","40.12","40.16","39.79","39.22M","0.22%"
"Nov 11, 2021","40.06","40.01","40.19","39.84","31.41M","0.28%"
"Nov 10, 2021","39.95","39.96","40.20","39.85","60.70M","-0.17%"
"Nov 09, 2021","40.02","40.01","40.15","39.77","48.42M","-0.55%"
"Nov 08, 2021","40.24","40.27","40.53","40.15","32.86M","0.55%"
"Nov 05, 2021","40.02","40.32","40.49","39.89","57.87M","0.05%"
"Nov 04, 2021","40.00","40.41","40.41","39.69","48.28M","-1.31%"
"Nov 03, 2021","40.53","40.25","40.68","40.17","42.95M","0.37%"
"Nov 02, 2021","40.38","40.29","40.50","40.16","31.44M","0.25%"
"Nov 01, 2021","40.28","40.55","40.63","40.12","37.50M","0.05%"
"Oct 29, 2021","40.26","40.47","40.54","40.18","42.09M","-0.40%"
"Oct 28, 2021","40.42","40.08","40.44","40.08","44.57M","1.23%"
"Oct 27, 2021","39.93","40.46","40.68","39.92","62.45M","-1.65%"
"Oct 26, 2021","40.60","40.66","40.86","40.54","41.59M","0.07%"
"Oct 25, 2021","40.57","40.73","40.77","40.47","33.12M","-0.12%"
"Oct 22, 2021","40.62","40.25","40.69","40.21","41.46M","1.40%"
"Oct 21, 2021","40.06","40.17","40.30","39.86","35.07M","-0.42%"
"Oct 20, 2021","40.23","39.84","40.23","39.74","44.67M","0.80%"
"Oct 19, 2021","39.91","39.71","39.91","39.56","33.08M","0.99%"
"Oct 18, 2021","39.52","39.41","39.73","39.32","56.31M","0.03%"
"Oct 15, 2021","39.51","39.31","39.71","39.18","58.41M","1.49%"
"Oct 14, 2021","38.93","38.70","38.94","38.35","51.89M","1.67%"
"Oct 13, 2021","38.29","38.50","38.54","37.74","72.11M","-0.57%"
"Oct 12, 2021","38.51","38.59","38.76","38.41","58.53M","-0.31%"
"Oct 11, 2021","38.63","39.12","39.40","38.61","50.75M","-1.00%"
"Oct 08, 2021","39.02","38.87","39.16","38.69","38.61M","0.49%"
"Oct 07, 2021","38.83","39.00","39.24","38.78","53.30M","0.60%"
"Oct 06, 2021","38.60","38.20","38.63","37.93","63.43M","0.10%"
"Oct 05, 2021","38.56","38.10","38.75","37.96","56.06M","1.96%"
"Oct 04, 2021","37.82","38.06","38.58","37.76","69.77M","-0.87%"
"Oct 01, 2021","38.15","37.63","38.41","37.49","70.44M","1.65%"
"Sep 30, 2021","37.53","38.35","38.35","37.53","73.32M","-1.57%"
"Sep 29, 2021","38.13","38.19","38.30","37.97","49.88M","0.08%"
"Sep 28, 2021","38.10","38.72","38.90","38.05","96.15M","-1.65%"
"Sep 27, 2021","38.74","38.54","38.85","38.51","58.79M","1.36%"
"Sep 24, 2021","38.22","37.99","38.35","37.94","48.07M","0.53%"
"Sep 23, 2021","38.02","37.45","38.19","37.43","71.80M","2.45%"
"Sep 22, 2021","37.11","36.91","37.37","36.89","58.35M","1.67%"
"Sep 21, 2021","36.50","36.80","36.91","36.41","45.84M","-0.14%"
"Sep 20, 2021","36.55","36.59","36.69","36.03","94.55M","-2.74%"
"Sep 17, 2021","37.58","37.70","37.94","37.48","82.99M","-0.45%"
"Sep 16, 2021","37.75","38.01","38.17","37.58","42.63M","-0.29%"
"Sep 15, 2021","37.86","37.48","37.95","37.44","36.37M","0.96%"
"Sep 14, 2021","37.50","38.13","38.27","37.38","45.67M","-1.34%"
"Sep 13, 2021","38.01","37.88","38.06","37.74","40.36M","1.14%"
"Sep 10, 2021","37.58","38.07","38.11","37.57","39.35M","-0.74%"
"Sep 09, 2021","37.86","37.70","38.22","37.67","33.42M","0.29%"
"Sep 08, 2021","37.75","37.75","37.93","37.55","32.44M","-0.24%"
"Sep 07, 2021","37.84","38.14","38.19","37.84","39.22M","-0.60%"
"Sep 03, 2021","38.07","38.24","38.32","37.98","34.85M","-0.63%"
"Sep 02, 2021","38.31","38.27","38.45","38.16","29.62M","0.34%"
"Sep 01, 2021","38.18","38.44","38.44","38.06","43.98M","-0.57%"
"Aug 31, 2021","38.40","38.43","38.68","38.26","49.88M","-0.13%"
"Aug 30, 2021","38.45","39.03","39.03","38.43","30.10M","-1.41%"
"Aug 27, 2021","39.00","38.54","39.01","38.53","38.51M","1.33%"
"Aug 26, 2021","38.49","38.84","38.90","38.46","38.48M","-0.49%"
"Aug 25, 2021","38.68","38.35","38.92","38.25","47.90M","1.18%"
"Aug 24, 2021","38.23","38.09","38.32","38.04","37.68M","0.61%"
"Aug 23, 2021","38.00","37.89","38.16","37.89","28.81M","0.82%"
"Aug 20, 2021","37.69","37.46","37.75","37.32","33.90M","0.61%"
