"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","173.87","174.55","174.97","173.79","5.12M","-0.49%"
"Dec 30, 2021","174.72","175.95","176.54","174.51","5.26M","-0.66%"
"Dec 29, 2021","175.88","175.79","176.59","174.97","4.84M","0.09%"
"Dec 28, 2021","175.73","176.98","177.04","175.29","5.69M","-0.52%"
"Dec 27, 2021","176.65","173.63","176.69","173.59","6.62M","2.15%"
"Dec 23, 2021","172.94","172.21","173.63","172.19","4.90M","0.56%"
"Dec 22, 2021","171.98","169.53","172.10","169.08","6.68M","1.31%"
"Dec 21, 2021","169.76","167.34","169.90","165.79","8.40M","2.53%"
"Dec 20, 2021","165.57","165.00","166.09","164.36","16.19M","-1.38%"
"Dec 17, 2021","167.88","167.15","169.52","166.28","22.41M","-0.67%"
"Dec 16, 2021","169.01","174.59","174.87","168.01","15.63M","-2.83%"
"Dec 15, 2021","173.94","169.59","174.11","167.98","14.07M","2.65%"
"Dec 14, 2021","169.45","170.20","171.29","167.41","13.52M","-1.64%"
"Dec 13, 2021","172.28","175.24","175.58","172.03","10.48M","-1.49%"
"Dec 10, 2021","174.88","173.24","175.10","172.73","12.39M","2.01%"
"Dec 09, 2021","171.44","172.88","174.01","171.30","8.59M","-1.08%"
"Dec 08, 2021","173.31","172.58","173.43","171.39","11.62M","0.46%"
"Dec 07, 2021","172.52","170.02","172.73","170.00","14.31M","3.49%"
"Dec 06, 2021","166.70","165.61","167.20","163.89","18.87M","0.95%"
"Dec 03, 2021","165.13","168.42","168.94","163.05","24.24M","-1.67%"
"Dec 02, 2021","167.94","164.74","168.70","164.61","23.44M","0.92%"
"Dec 01, 2021","166.41","170.84","171.79","166.28","19.55M","-1.37%"
"Nov 30, 2021","168.72","169.56","171.03","167.30","27.03M","-0.83%"
"Nov 29, 2021","170.14","168.42","170.58","167.97","12.49M","2.50%"
"Nov 26, 2021","165.99","167.81","169.11","165.33","12.38M","-2.50%"
"Nov 24, 2021","170.24","168.00","170.28","167.18","9.12M","0.73%"
"Nov 23, 2021","169.01","168.75","169.54","166.88","14.62M","-0.23%"
"Nov 22, 2021","169.40","172.14","174.24","169.31","14.23M","-1.11%"
"Nov 19, 2021","171.31","170.68","171.96","170.11","8.86M","0.73%"
"Nov 18, 2021","170.07","169.36","170.31","168.14","9.98M","1.00%"
"Nov 17, 2021","168.39","168.57","169.45","167.86","7.70M","-0.30%"
"Nov 16, 2021","168.90","166.98","169.13","166.89","6.77M","1.05%"
"Nov 15, 2021","167.14","167.89","168.22","166.20","6.25M","-0.10%"
"Nov 12, 2021","167.31","165.85","167.59","165.57","6.12M","1.22%"
"Nov 11, 2021","165.30","165.71","165.78","165.03","5.05M","0.47%"
"Nov 10, 2021","164.53","165.85","166.82","164.03","12.89M","-1.65%"
"Nov 09, 2021","167.29","168.35","168.39","166.44","8.41M","-0.41%"
"Nov 08, 2021","167.98","167.68","168.26","167.23","6.39M","0.54%"
"Nov 05, 2021","167.08","167.44","168.02","166.04","12.11M","0.52%"
"Nov 04, 2021","166.22","164.28","166.62","164.00","14.35M","1.56%"
"Nov 03, 2021","163.66","162.83","163.97","162.06","12.99M","0.58%"
"Nov 02, 2021","162.71","161.51","163.10","161.51","13.41M","0.88%"
"Nov 01, 2021","161.29","161.38","161.57","160.50","12.21M","-0.15%"
"Oct 29, 2021","161.53","159.26","161.63","159.07","10.07M","0.43%"
"Oct 28, 2021","160.84","160.07","160.95","159.92","6.38M","1.00%"
"Oct 27, 2021","159.24","159.63","160.46","159.10","8.72M","-0.09%"
"Oct 26, 2021","159.38","160.01","160.66","159.32","6.59M","0.28%"
