"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","51.81","51.72","52.17","51.66","3.98M","0.21%"
"Dec 30, 2021","51.70","51.52","51.87","51.44","3.66M","0.45%"
"Dec 29, 2021","51.47","51.26","51.62","51.02","4.40M","0.61%"
"Dec 28, 2021","51.16","50.94","51.18","50.77","5.59M","0.43%"
"Dec 27, 2021","50.94","50.06","50.94","49.96","5.18M","2.04%"
"Dec 23, 2021","49.92","50.17","50.19","49.63","5.26M","-0.30%"
"Dec 22, 2021","50.07","49.73","50.10","49.67","4.53M","0.99%"
"Dec 21, 2021","49.58","49.64","49.89","49.38","6.02M","0.57%"
"Dec 20, 2021","49.30","49.05","49.50","48.77","9.76M","-1.50%"
"Dec 17, 2021","50.05","50.17","50.65","49.98","8.63M","-0.34%"
"Dec 16, 2021","50.22","50.14","50.55","49.90","7.16M","0.38%"
"Dec 15, 2021","50.03","49.46","50.10","49.41","8.20M","1.48%"
"Dec 14, 2021","49.30","49.74","49.85","48.93","8.92M","-1.10%"
"Dec 13, 2021","49.85","49.05","50.08","48.98","5.10M","1.34%"
"Dec 10, 2021","49.19","49.14","49.23","48.88","3.68M","0.51%"
"Dec 09, 2021","48.94","49.46","49.47","48.90","3.57M","-1.27%"
"Dec 08, 2021","49.57","49.36","49.70","49.19","6.93M","0.43%"
"Dec 07, 2021","49.36","48.88","49.44","48.76","7.76M","1.77%"
"Dec 06, 2021","48.50","48.16","48.90","48.14","8.71M","1.44%"
"Dec 03, 2021","47.81","48.11","48.34","47.40","11.83M","-0.50%"
"Dec 02, 2021","48.05","47.04","48.34","47.00","10.10M","2.74%"
"Dec 01, 2021","46.77","47.88","48.43","46.76","12.30M","-1.31%"
"Nov 30, 2021","47.39","48.05","48.30","47.39","11.02M","-2.09%"
"Nov 29, 2021","48.40","48.12","48.76","47.81","7.17M","1.26%"
"Nov 26, 2021","47.80","48.47","48.59","47.73","6.83M","-2.71%"
"Nov 24, 2021","49.13","48.47","49.19","48.34","5.09M","1.34%"
"Nov 23, 2021","48.48","48.09","48.61","47.91","9.78M","1.06%"
"Nov 22, 2021","47.97","48.22","48.42","47.86","5.42M","-0.50%"
"Nov 19, 2021","48.21","48.52","48.59","48.09","5.10M","-0.54%"
"Nov 18, 2021","48.47","48.53","48.58","48.25","5.48M","-0.02%"
"Nov 17, 2021","48.48","48.06","48.54","47.46","15.34M","0.66%"
"Nov 16, 2021","48.16","48.53","48.54","48.07","4.94M","-0.62%"
"Nov 15, 2021","48.46","48.24","48.46","48.02","3.59M","0.56%"
"Nov 12, 2021","48.19","48.33","48.35","48.01","3.90M","0.04%"
"Nov 11, 2021","48.17","48.21","48.21","47.81","4.19M","0.04%"
"Nov 10, 2021","48.15","48.29","48.54","48.15","5.06M","-0.50%"
"Nov 09, 2021","48.39","48.31","48.47","48.21","4.41M","0.37%"
"Nov 08, 2021","48.21","48.42","48.42","47.77","5.79M","-0.02%"
"Nov 05, 2021","48.22","48.58","48.85","48.14","5.73M","0.23%"
"Nov 04, 2021","48.11","48.58","48.70","47.92","4.62M","-1.13%"
"Nov 03, 2021","48.66","48.46","48.76","48.16","4.81M","0.58%"
"Nov 02, 2021","48.38","48.14","48.54","47.92","6.62M","0.94%"
"Nov 01, 2021","47.93","47.89","48.02","47.16","6.77M","0.23%"
